ID,TermEnglish,TermVietnamese,Prefix,Root,Suffix,Description,Category,Rarity,Specialty,Structure
CARD_241,Dual-cord technique,Kỹ thuật hai chỉ co nướu,,Dual,technique,Using two cords for retraction (small then larger). Vietnamese: Đặt hai sợi chỉ lần lượt để co nướu hiệu quả,Material,Common,Dentistry,Dual (kép) + cord (chỉ) + technique
CARD_242,Electrosurgery (gingival troughing),Điện phẫu tạo rãnh nướu,,Electro,surgery,Electrical cutting/coagulation to create sulcular trough. Vietnamese: Cắt/đốt điện để tạo rãnh quanh bờ răng,Biological,Common,Dentistry,Electro (điện) + surgery (phẫu thuật)
CARD_243,Laser troughing,Laser tạo rãnh nướu,,Laser,troughing,Use of dental laser to create gingival trough. Vietnamese: Dùng laser tạo rãnh quanh bờ răng,Material,Common,Dentistry,Laser + troughing
CARD_244,Impression syringe,Ống bơm vật liệu lấy dấu,,Impression,syringe,Syringe to inject light-body material around margins. Vietnamese: Ống tiêm bơm vật liệu độ chảy quanh bờ,Material,Common,Dentistry,Impression + syringe
CARD_245,Heavy body impression,Vật liệu lấy dấu độ đặc,,Heavy,body,High-viscosity impression material. Vietnamese: Vật liệu lấy dấu có độ nhớt cao,Material,Common,Dentistry,Heavy (nặng) + body (thân)
CARD_246,Light body impression,Vật liệu lấy dấu độ chảy,,Light,body,Low-viscosity impression material. Vietnamese: Vật liệu lấy dấu có độ nhớt thấp,Material,Common,Dentistry,Light (nhẹ) + body
CARD_247,Putty-wash technique,Kỹ thuật putty–wash,,Putty,wash,Combination of putty and light-body impression. Vietnamese: Kết hợp vật liệu putty với độ chảy để lấy dấu,Material,Common,Dentistry,Putty (bột nhão) + wash (lớp phủ)
CARD_248,One-step impression,Lấy dấu một thì,,One,step,Simultaneous impression of putty and light body. Vietnamese: Lấy dấu đồng thời vật liệu putty và độ chảy,Material,Common,Dentistry,One (một) + step (thì)
CARD_249,Two-step impression,Lấy dấu hai thì,,Two,step,Sequential putty then relined with light body. Vietnamese: Lấy dấu putty trước rồi phủ lớp độ chảy,Material,Common,Dentistry,Two (hai) + step
CARD_250,Facebow,Cung mặt,,Face,bow,Device transferring spatial relation of maxilla to articulator. Vietnamese: Dụng cụ chuyển vị trí không gian của hàm trên lên giá khớp,Material,Common,Dentistry,Face (mặt) + bow (cung)
CARD_251,Semi-adjustable articulator,Giá khớp bán điều chỉnh,,Semi,articulator,Articulator allowing adjustment of key parameters. Vietnamese: Giá khớp điều chỉnh được một số thông số,Material,Common,Dentistry,Semi (bán) + adjustable + articulator
CARD_252,Fully adjustable articulator,Giá khớp toàn điều chỉnh,,Fully,articulator,Articulator allowing extensive individualized adjustments. Vietnamese: Giá khớp điều chỉnh đầy đủ theo cá nhân,Material,Common,Dentistry,Fully (toàn) + adjustable + articulator
CARD_253,Interocclusal record,Bản ghi liên hàm,,Inter,record,Record of maxillomandibular relationship. Vietnamese: Ghi tương quan hai hàm,Material,Common,Dentistry,Inter (giữa) + occlusal (khớp cắn) + record
CARD_254,Bite registration,Ghi cắn,,Bite,registration,Registration of occlusal relationship. Vietnamese: Ghi tương quan khớp cắn,Morphological,Common,Dentistry,Bite (cắn) + registration (ghi)
CARD_255,Centric relation record,Ghi tương quan trung tâm,,Centric relation,record,Record of jaw relation independent of tooth contact. Vietnamese: Ghi tương quan hai hàm không phụ thuộc tiếp xúc răng,Material,Common,Dentistry,Centric relation + record
CARD_256,Vertical dimension of occlusion,Chiều cao cắn khít (VDO),,Vertical,dimension,Distance between selected points when teeth in contact. Vietnamese: Khoảng cách giữa các điểm chọn khi cắn khít,Morphological,Common,Dentistry,Vertical (dọc) + dimension (kích thước)
CARD_257,Vertical dimension at rest,Chiều cao tư thế nghỉ (VDR),,Vertical dimension,rest,Distance between points when mandible is at rest. Vietnamese: Khoảng cách giữa các điểm khi hàm ở tư thế nghỉ,Material,Common,Dentistry,Vertical dimension + rest
CARD_258,Freeway space,Khoảng nghỉ,,Freeway,space,Difference between VDR and VDO. Vietnamese: Hiệu số giữa VDR và VDO,Morphological,Common,Dentistry,Freeway (khoảng) + space
CARD_259,Occlusal splint,Máng nhai ổn định,,Occlusal,splint,Removable appliance to stabilize occlusion and protect teeth. Vietnamese: Khí cụ tháo lắp ổn định khớp cắn và bảo vệ răng,Material,Common,Dentistry,Occlusal (khớp cắn) + splint (nẹp/máng)
CARD_260,Anterior deprogrammer,Khí cụ khử chương trước,,Anterior,er,"Device to disengage posterior teeth and relax muscles. Vietnamese: Khí cụ làm mất chạm răng sau, thư giãn cơ",Material,Common,Dentistry,Anterior (trước) + deprogram (khử chương) + -er
CARD_261,Removable partial denture (RPD),Hàm giả bán phần tháo lắp,,Removable,denture,"Prosthesis replacing some teeth; removable by patient. Vietnamese: Phục hình thay thế một số răng, bệnh nhân tự tháo lắp",Material,Common,Dentistry,Removable (tháo lắp) + partial (bán phần) + denture
CARD_262,Complete denture,Hàm giả toàn hàm,,Complete,denture,Prosthesis replacing all teeth of an arch. Vietnamese: Phục hình thay thế toàn bộ răng của một hàm,Material,Common,Dentistry,Complete (toàn) + denture
CARD_263,Immediate denture,Hàm giả tức thì,,Immediate,denture,Denture inserted at the same appointment as extractions. Vietnamese: Hàm đặt ngay sau khi nhổ răng,Material,Common,Dentistry,Immediate (tức thì) + denture
CARD_264,Overdenture,Hàm phủ,,Over,denture,Denture supported by retained roots or implants. Vietnamese: Hàm tháo lắp tựa trên chân răng còn giữ hoặc implant,Material,Common,Dentistry,Over (phủ) + denture
CARD_265,Implant-supported overdenture,Hàm phủ nâng đỡ bởi implant,,Implant,overdenture,Overdenture supported/retained by implants. Vietnamese: Hàm phủ được nâng đỡ/giữ bởi implant,Material,Common,Dentistry,Implant + supported + overdenture
CARD_266,Tissue conditioner,Vật liệu điều kiện mô,,Tissue,er,Viscoelastic material to treat abused tissues under dentures. Vietnamese: Vật liệu đàn nhớ dùng cải thiện mô dưới hàm giả,Biological,Common,Dentistry,Tissue (mô) + condition (điều kiện) + -er
CARD_267,Soft liner,Lót mềm,,Soft,liner,Soft resilient liner on tissue surface of denture. Vietnamese: Lớp lót đàn hồi ở mặt niêm mạc của hàm,Morphological,Common,Dentistry,Soft (mềm) + liner (lót)
CARD_268,Relining,Lót lại (reline),,Re,lining,Replacing the intaglio surface to improve fit. Vietnamese: Thay bề mặt trong để cải thiện độ khít,Material,Common,Dentistry,Re- (lại) + lining (lót)
CARD_269,Rebasing,Thay nền (rebasing),,Re,ing,Replacing the entire denture base material. Vietnamese: Thay toàn bộ nền hàm giả,Material,Common,Dentistry,Re- (lại) + base (nền) + -ing
CARD_270,Border molding,Nắn bờ chức năng,,Border,ing,Shaping impression borders to capture functional depth. Vietnamese: Nắn tạo bờ lấy dấu theo chức năng,Material,Common,Dentistry,Border (bờ) + mold (nắn) + -ing
CARD_271,Peripheral seal,Niêm kín ngoại vi,,Peripheral,seal,Seal at border providing denture retention. Vietnamese: Vùng kín ở bờ giúp hàm giữ chắc,Material,Common,Dentistry,Peripheral (ngoại vi) + seal (niêm kín)
CARD_272,Posterior palatal seal (post dam),Vùng chặn khẩu cái sau,,Posterior,seal,Seal at junction of hard and soft palate. Vietnamese: Vùng niêm kín nối khẩu cái cứng và mềm,Material,Common,Dentistry,Posterior + palatal + seal
CARD_273,Major connector,Thanh nối lớn,,Major,connector,Component uniting parts of an RPD on one arch. Vietnamese: Bộ phận nối các phần của hàm khung trên cùng một hàm,Material,Common,Dentistry,Major (lớn) + connector (nối)
CARD_274,Minor connector,Thanh nối nhỏ,,Minor,connector,Component connecting minor parts to major connector. Vietnamese: Bộ phận nối các thành phần phụ với thanh nối lớn,Material,Common,Dentistry,Minor (nhỏ) + connector
CARD_275,Occlusal rest,Gờ tựa nhai,,Occlusal,rest,Rest providing vertical support on occlusal surface. Vietnamese: Gờ tựa tạo nâng đỡ theo chiều dọc trên mặt nhai,Material,Common,Dentistry,Occlusal (nhai) + rest (tựa)
CARD_276,Rest seat,Hố tựa,,Rest,seat,Prepared area to receive a rest. Vietnamese: Vùng được sửa soạn để đặt gờ tựa,Material,Common,Dentistry,Rest + seat (chỗ đặt)
CARD_277,Guide plane,Mặt hướng dẫn,,Guide,plane,Parallel surface guiding path of insertion. Vietnamese: Mặt song song dẫn hướng đường tháo lắp,Material,Common,Dentistry,Guide (hướng dẫn) + plane (mặt)
CARD_278,Direct retainer,Bộ phận giữ trực tiếp,,Direct,retainer,Clasp assembly directly resisting dislodging forces. Vietnamese: Cấu phần móc giữ chống lực bật hàm,Material,Common,Dentistry,Direct (trực tiếp) + retainer (giữ)
CARD_279,Indirect retainer,Bộ phận giữ gián tiếp,,Indirect,retainer,Component resisting rotation around fulcrum line. Vietnamese: Bộ phận chống xoay quanh đường trục bản lề,Material,Common,Dentistry,Indirect (gián tiếp) + retainer
CARD_280,Circumferential clasp (Akers),Móc vòng (Akers),,Circum,clasp,Clasp encircling tooth from undercut to occlusal origin. Vietnamese: Móc bao quanh răng từ vùng undercut đến điểm xuất phát,Material,Common,Dentistry,Circum (quanh) + ferential (mang) + clasp
CARD_281,I-bar clasp,Móc I-bar,,Ibar,clasp,Infrabulge clasp approaching undercut from gingival direction. Vietnamese: Móc dưới phồng đi từ hướng nướu vào undercut,Material,Common,Dentistry,I-bar (hình chữ I) + clasp
CARD_282,RPI system,Hệ thống RPI,,R,I,Rest–Proximal plate–I-bar clasp design for stress release. Vietnamese: Thiết kế Gờ tựa–Bản gần–Móc I-bar giảm ứng suất,Material,Common,Dentistry,R (rest) + P (proximal plate) + I (I-bar)
CARD_283,Reciprocation,Đối kháng lực móc,,Reciprocate,ion,Action opposing clasp force to stabilize tooth. Vietnamese: Tác động đối kháng lực của móc để ổn định răng,Material,Common,Dentistry,Reciprocate (đối ứng) + -ion
CARD_284,Fulcrum line,Đường trục bản lề,,Fulcrum,line,Imaginary line about which denture tends to rotate. Vietnamese: Đường tưởng tượng quanh đó hàm có xu hướng xoay,Morphological,Common,Dentistry,Fulcrum (điểm tựa) + line
CARD_285,Denture base,Nền hàm giả,,Denture,base,Part of denture contacting oral mucosa and supporting teeth. Vietnamese: Phần hàm tiếp xúc niêm mạc và nâng đỡ răng giả,Material,Common,Dentistry,Denture + base
CARD_286,Denture flange,Viền nền hàm,,Denture,flange,Vertical extension of denture base into vestibule. Vietnamese: Phần nền hàm kéo dài lên tiền đình miệng,Material,Common,Dentistry,Denture + flange (gờ)
CARD_287,Denture stomatitis,Viêm niêm mạc do hàm giả,,Denture,stomatitis,Inflammation of mucosa under a denture. Vietnamese: Viêm niêm mạc dưới nền hàm giả,Material,Common,Dentistry,Denture + stomatitis (viêm miệng)
CARD_288,Flabby ridge,Sống hàm di động (mềm),,Flabby,ridge,"Mobile fibrous alveolar ridge tissue. Vietnamese: Mô sống hàm xơ mềm, di động",Biological,Common,Dentistry,Flabby (mềm nhũn) + ridge (sống)
CARD_289,Kennedy Class I,Phân loại Kennedy loại I,,Classification by Kennedy,,Bilateral edentulous areas posterior to remaining teeth. Vietnamese: Mất răng hai phía sau răng còn lại,Identifier,Common,Dentistry,Classification by Kennedy
CARD_290,Kennedy Class II,Phân loại Kennedy loại II,,Classification by Kennedy,,Unilateral edentulous area posterior to remaining teeth. Vietnamese: Mất răng một phía sau răng còn lại,Identifier,Common,Dentistry,Classification by Kennedy
CARD_291,Kennedy Class III,Phân loại Kennedy loại III,,Classification by Kennedy,,Unilateral edentulous area with teeth remaining both sides. Vietnamese: Mất răng một phía kèm răng còn lại hai bên,Identifier,Common,Dentistry,Classification by Kennedy
CARD_292,Kennedy Class IV,Phân loại Kennedy loại IV,,Classification by Kennedy,,Single edentulous area crossing the midline anteriorly. Vietnamese: Mất răng vùng trước qua đường giữa,Identifier,Common,Dentistry,Classification by Kennedy
CARD_293,Surveyor,Máy khảo sát (surveyor),,Survey,or,Device to determine path of insertion and undercuts on cast. Vietnamese: Thiết bị xác định đường tháo lắp và undercut trên mẫu,Material,Common,Dentistry,Survey (khảo sát) + -or
CARD_294,Survey line,Đường khảo sát,,Survey,line,Height of contour line on a tooth mapped by surveyor. Vietnamese: Đường đường kính lớn nhất được vẽ trên răng,Morphological,Common,Dentistry,Survey + line
CARD_295,Undercut (prosthodontic),Vùng undercut,,Under,cut,Area below height of contour used for clasping. Vietnamese: Vùng nằm dưới đường kính lớn nhất dùng cho móc giữ,Morphological,Common,Dentistry,Under (dưới) + cut (cắt)
CARD_296,Tripodization (cast),Đánh dấu ba điểm tham chiếu,,Tri,ization,Marking three widely separated points to reorient cast. Vietnamese: Đánh dấu ba điểm xa nhau để định vị lại mẫu,Material,Common,Dentistry,Tri (ba) + pod (chân) + -ization
CARD_297,Occlusal plane (denture),Mặt phẳng cắn (hàm giả),,Occlusal,plane,Plane established by wax rims for denture teeth arrangement. Vietnamese: Mặt phẳng được xác lập bằng vành sáp để sắp răng,Material,Common,Dentistry,Occlusal + plane
CARD_298,Fox plane guide,Thước Fox (định hướng mặt phẳng cắn),,Fox,plane guide,Instrument to align occlusal plane with facial references. Vietnamese: Dụng cụ căn mặt phẳng cắn theo mốc ngoài mặt,Identifier,Common,Dentistry,Fox (tên riêng) + plane guide
CARD_299,Camper’s plane,Mặt phẳng Camper,,Eponym Camper,plane,Plane from ala of nose to tragus used as reference. Vietnamese: Mặt phẳng từ cánh mũi đến tai dùng làm mốc,Identifier,Common,Dentistry,Eponym Camper + plane
CARD_300,Curve of Spee,Đường cong Spee,,Eponym Spee,curve,Anteroposterior curvature of occlusal surfaces. Vietnamese: Đường cong trước sau của mặt nhai,Identifier,Common,Dentistry,Eponym Spee + curve
