STT,Tiếng Anh (English),Giải nghĩa tiếng Anh (English Definition),Tiếng Việt (Vietnamese),Giải nghĩa tiếng Việt (Vietnamese Definition),Phân tích thuật ngữ (Term Analysis),Hình minh họa trong tài liệu (Illustration in Source),Link hình tham khảo (Reference Image Link),Chương (Chapter),Chỉ mục/Trang (Index/Page),Phiên âm (IPA),Category,Type,Rarity
217,Shoulder finish line,Flat horizontal ledge margin,Đường hoàn tất shoulder,Dạng bờ ngang phẳng kiểu vai,Shoulder (vai) + finish line,N/A,https://www.pinterest.com/search/pins/?q=Shoulder%20finish%20line,Prosthodontics – Fixed,N/A,ˈʃoʊldər ˈfɪnɪʃ laɪn,Morphological,Term,Common
218,Shoulder with bevel,Shoulder margin modified by external bevel,Shoulder có vát,Bờ vai kèm vát ngoài,Shoulder + bevel (vát),N/A,https://www.pinterest.com/search/pins/?q=Shoulder%20with%20bevel,Prosthodontics – Fixed,N/A,ˈʃoʊldər wɪð ˈbɛvəl,Morphological,Term,Common
219,Knife-edge margin,Very thin tapered margin design,Bờ lưỡi dao,"Thiết kế bờ rất mảnh, dần mỏng",Knife (dao) + edge (cạnh),N/A,https://www.pinterest.com/search/pins/?q=Knife-edge%20margin,Prosthodontics – Fixed,N/A,naɪf ɛdʒ ˈmɑːrdʒɪn,Morphological,Term,Common
220,Provisional restoration,Temporary restoration protecting prepared tooth,Phục hình tạm,Phục hình tạm thời bảo vệ răng đã mài,Provisional (tạm) + restoration,N/A,https://www.pinterest.com/search/pins/?q=Provisional%20restoration,Prosthodontics – Fixed,N/A,prəˈvɪʒənəl ˌrɛstəˈreɪʃən,Material,Term,Common
221,Temporary cement,Luting agent for provisional restorations,Xi măng tạm,Vật liệu gắn dành cho phục hình tạm,Temporary (tạm) + cement (xi măng),N/A,https://www.pinterest.com/search/pins/?q=Temporary%20cement,Prosthodontics – Fixed,N/A,ˈtɛmpərɛri sɪˈmɛnt,Material,Term,Common
222,Luting cement,Cement used to attach restoration to tooth,Xi măng gắn,Vật liệu gắn phục hình lên răng,Lute (gắn) + -ing + cement,N/A,https://www.pinterest.com/search/pins/?q=Luting%20cement,Prosthodontics – Fixed,N/A,ˈluːtɪŋ sɪˈmɛnt,Material,Term,Common
223,Resin cement,Resin-based luting material with adhesive properties,Xi măng nhựa dán,Xi măng gốc nhựa có tính dán dính,Resin (nhựa) + cement,N/A,https://www.pinterest.com/search/pins/?q=Resin%20cement,Prosthodontics – Fixed,N/A,ˈrɛzɪn sɪˈmɛnt,Material,Term,Common
224,Self-adhesive resin cement,Resin cement that bonds without separate etch/prime,Xi măng nhựa tự dán,Xi măng nhựa tự bám không cần etch/prime riêng,Self (tự) + adhesive (dính) + resin cement,N/A,https://www.pinterest.com/search/pins/?q=Self-adhesive%20resin%20cement,Prosthodontics – Fixed,N/A,sɛlf ədˈhiːsɪv ˈrɛzɪn sɪˈmɛnt,Material,Term,Common
225,Adhesive resin cement,Resin cement requiring separate adhesive protocol,Xi măng nhựa dán theo hệ thống,Xi măng nhựa cần quy trình dán riêng,Adhesive (dính) + resin cement,N/A,https://www.pinterest.com/search/pins/?q=Adhesive%20resin%20cement,Prosthodontics – Fixed,N/A,ədˈhiːsɪv ˈrɛzɪn sɪˈmɛnt,Material,Term,Common
226,Dual-cure,Polymerization by light and chemical mechanisms,Hai cơ chế trùng hợp,Trùng hợp bằng quang và hoá đồng thời,Dual (kép) + cure (trùng hợp),N/A,https://www.pinterest.com/search/pins/?q=Dual-cure,Prosthodontics – Fixed,N/A,ˈdjuːəl kjʊər,Material,Term,Common
227,Light-cure,Polymerization activated by light,Quang trùng hợp,Trùng hợp kích hoạt bởi ánh sáng,Light (ánh sáng) + cure,N/A,https://www.pinterest.com/search/pins/?q=Light-cure,Prosthodontics – Fixed,N/A,laɪt kjʊər,Material,Term,Common
228,Self-cure,Chemical polymerization without light,Tự trùng hợp,Trùng hợp hoá học không cần ánh sáng,Self (tự) + cure,N/A,https://www.pinterest.com/search/pins/?q=Self-cure,Prosthodontics – Fixed,N/A,sɛlf kjʊər,Material,Term,Common
229,Die,Individual tooth replica on a working cast,Chốt mẫu (die),Mẫu răng đơn lẻ trên mẫu làm việc,Die (mẫu răng),N/A,https://www.pinterest.com/search/pins/?q=Die,Prosthodontics – Fixed,N/A,daɪ,Material,Term,Common
230,Working cast,Positive replica used to fabricate restoration,Mẫu làm việc,Mẫu dương dùng để chế tác phục hình,Work (làm) + cast (đổ mẫu),N/A,https://www.pinterest.com/search/pins/?q=Working%20cast,Prosthodontics – Fixed,N/A,ˈwɜːrkɪŋ kæst,Material,Term,Common
231,Master impression,Final impression capturing definitive details,Lấy dấu cuối (chính),Lấy dấu cuối cùng ghi nhận chi tiết chuẩn,Master (chính) + impression (lấy dấu),N/A,https://www.pinterest.com/search/pins/?q=Master%20impression,Prosthodontics – Fixed,N/A,ˈmæstər ɪmˈprɛʃən,Material,Term,Common
232,Addition silicone (PVS),Polyvinyl siloxane elastomeric impression material,Silicone cộng hợp (PVS),Vật liệu lấy dấu đàn hồi polyvinyl siloxane,Addition (cộng) + silicone; PVS,N/A,https://www.pinterest.com/search/pins/?q=Addition%20silicone%20%28PVS%29,Prosthodontics – Fixed,N/A,əˈdɪʃən ˈsɪlɪkoʊn piː viː ɛs,Material,Term,Common
233,Polyether impression material,Elastomer with high rigidity and accuracy,Polyether lấy dấu,Vật liệu đàn hồi có độ cứng và chính xác cao,Poly (đa) + ether,N/A,https://www.pinterest.com/search/pins/?q=Polyether%20impression%20material,Prosthodontics – Fixed,N/A,ˌpɒliˈiːθər ɪmˈprɛʃən məˈtɪəriəl,Material,Term,Common
234,Custom tray,Individually fabricated tray for accurate impression,Khay lấy dấu cá nhân,Khay chế riêng cho lấy dấu chính xác,Custom (cá nhân) + tray (khay),N/A,https://www.pinterest.com/search/pins/?q=Custom%20tray,Prosthodontics – Fixed,N/A,ˈkʌstəm treɪ,Material,Term,Common
235,Tray adhesive,Adhesive applied to impression tray for retention,Keo dán khay lấy dấu,Keo bôi lên khay để giữ vật liệu lấy dấu,Tray (khay) + adhesive (dính),N/A,https://www.pinterest.com/search/pins/?q=Tray%20adhesive,Prosthodontics – Fixed,N/A,treɪ ədˈhiːsɪv,Material,Term,Common
236,Gingival retraction cord,Cord placed in sulcus to displace gingiva and control fluids,Chỉ co nướu,Sợi chỉ đặt vào khe nướu để vén mô và kiểm soát dịch,Gingiv (nướu) + retraction (kéo) + cord (sợi),N/A,https://www.pinterest.com/search/pins/?q=Gingival%20retraction%20cord,Prosthodontics – Fixed,N/A,ˈdʒɪn.dʒɪ.vəl rɪˈtrækʃən kɔːrd,Material,Term,Common
237,Hemostatic agent,Agent used to control bleeding,Tác nhân cầm máu,Chất dùng để cầm máu,Hemo (máu) + static (ngừng) + agent,N/A,https://www.pinterest.com/search/pins/?q=Hemostatic%20agent,Prosthodontics – Fixed,N/A,ˌhiːməˈstætɪk ˈeɪdʒənt,Material,Term,Common
238,Aluminum chloride,Common astringent for hemostasis and retraction,Nhôm clorua,Chất se niêm mạc dùng cầm máu/co nướu,Aluminum + chloride,N/A,https://www.pinterest.com/search/pins/?q=Aluminum%20chloride,Prosthodontics – Fixed,N/A,əˈluːmɪnəm ˈklɔːraɪd,Material,Term,Common
239,Ferric sulfate,Astringent hemostatic solution,Sắt(III) sulfat,Dung dịch se niêm cầm máu,Ferric (sắt III) + sulfate,N/A,https://www.pinterest.com/search/pins/?q=Ferric%20sulfate,Prosthodontics – Fixed,N/A,ˈfɛrɪk ˈsʌlfeɪt,Material,Term,Common
240,Retraction paste,Chemomechanical paste for sulcular displacement,Paste co nướu,Hỗn hợp hoá cơ học để vén khe nướu,Retract (kéo) + -ion + paste,N/A,https://www.pinterest.com/search/pins/?q=Retraction%20paste,Prosthodontics – Fixed,N/A,rɪˈtrækʃən peɪst,Material,Term,Common
241,Dual-cord technique,Using two cords for retraction (small then larger),Kỹ thuật hai chỉ co nướu,Đặt hai sợi chỉ lần lượt để co nướu hiệu quả,Dual (kép) + cord (chỉ) + technique,N/A,https://www.pinterest.com/search/pins/?q=Dual-cord%20technique,Prosthodontics – Fixed,N/A,ˈdjuːəl kɔːrd tɛkˈniːk,Material,Term,Common
242,Electrosurgery (gingival troughing),Electrical cutting/coagulation to create sulcular trough,Điện phẫu tạo rãnh nướu,Cắt/đốt điện để tạo rãnh quanh bờ răng,Electro (điện) + surgery (phẫu thuật),N/A,https://www.pinterest.com/search/pins/?q=Electrosurgery%20%28gingival%20troughing%29,Prosthodontics – Fixed,N/A,ɪˌlɛktrəʊˈsɜːrdʒəri,Biological,Term,Common
243,Laser troughing,Use of dental laser to create gingival trough,Laser tạo rãnh nướu,Dùng laser tạo rãnh quanh bờ răng,Laser + troughing,N/A,https://www.pinterest.com/search/pins/?q=Laser%20troughing,Prosthodontics – Fixed,N/A,ˈleɪzər ˈtrɒfɪŋ,Material,Term,Common
244,Impression syringe,Syringe to inject light-body material around margins,Ống bơm vật liệu lấy dấu,Ống tiêm bơm vật liệu độ chảy quanh bờ,Impression + syringe,N/A,https://www.pinterest.com/search/pins/?q=Impression%20syringe,Prosthodontics – Fixed,N/A,ɪmˈprɛʃən ˈsɪrɪndʒ,Material,Term,Common
245,Heavy body impression,High-viscosity impression material,Vật liệu lấy dấu độ đặc,Vật liệu lấy dấu có độ nhớt cao,Heavy (nặng) + body (thân),N/A,https://www.pinterest.com/search/pins/?q=Heavy%20body%20impression,Prosthodontics – Fixed,N/A,ˈhɛvi ˈbɒdi ɪmˈprɛʃən,Material,Term,Common
246,Light body impression,Low-viscosity impression material,Vật liệu lấy dấu độ chảy,Vật liệu lấy dấu có độ nhớt thấp,Light (nhẹ) + body,N/A,https://www.pinterest.com/search/pins/?q=Light%20body%20impression,Prosthodontics – Fixed,N/A,laɪt ˈbɒdi ɪmˈprɛʃən,Material,Term,Common
247,Putty-wash technique,Combination of putty and light-body impression,Kỹ thuật putty–wash,Kết hợp vật liệu putty với độ chảy để lấy dấu,Putty (bột nhão) + wash (lớp phủ),N/A,https://www.pinterest.com/search/pins/?q=Putty-wash%20technique,Prosthodontics – Fixed,N/A,ˈpʌti wɒʃ tɛkˈniːk,Material,Term,Common
248,One-step impression,Simultaneous impression of putty and light body,Lấy dấu một thì,Lấy dấu đồng thời vật liệu putty và độ chảy,One (một) + step (thì),N/A,https://www.pinterest.com/search/pins/?q=One-step%20impression,Prosthodontics – Fixed,N/A,wʌn stɛp ɪmˈprɛʃən,Material,Term,Common
249,Two-step impression,Sequential putty then relined with light body,Lấy dấu hai thì,Lấy dấu putty trước rồi phủ lớp độ chảy,Two (hai) + step,N/A,https://www.pinterest.com/search/pins/?q=Two-step%20impression,Prosthodontics – Fixed,N/A,tuː stɛp ɪmˈprɛʃən,Material,Term,Common
250,Facebow,Device transferring spatial relation of maxilla to articulator,Cung mặt,Dụng cụ chuyển vị trí không gian của hàm trên lên giá khớp,Face (mặt) + bow (cung),N/A,https://www.pinterest.com/search/pins/?q=Facebow,Prosthodontics – Records,N/A,ˈfeɪsboʊ,Material,Term,Common
251,Semi-adjustable articulator,Articulator allowing adjustment of key parameters,Giá khớp bán điều chỉnh,Giá khớp điều chỉnh được một số thông số,Semi (bán) + adjustable + articulator,N/A,https://www.pinterest.com/search/pins/?q=Semi-adjustable%20articulator,Prosthodontics – Records,N/A,ˌsɛmi əˈdʒʌstəbəl ɑːrˈtɪkjəˌleɪtər,Material,Term,Common
252,Fully adjustable articulator,Articulator allowing extensive individualized adjustments,Giá khớp toàn điều chỉnh,Giá khớp điều chỉnh đầy đủ theo cá nhân,Fully (toàn) + adjustable + articulator,N/A,https://www.pinterest.com/search/pins/?q=Fully%20adjustable%20articulator,Prosthodontics – Records,N/A,ˈfʊli əˈdʒʌstəbəl ɑːrˈtɪkjəˌleɪtər,Material,Term,Common
253,Interocclusal record,Record of maxillomandibular relationship,Bản ghi liên hàm,Ghi tương quan hai hàm,Inter (giữa) + occlusal (khớp cắn) + record,N/A,https://www.pinterest.com/search/pins/?q=Interocclusal%20record,Prosthodontics – Records,N/A,ˌɪntər əˈkluːzəl ˈrɛkɔːrd,Material,Term,Common
254,Bite registration,Registration of occlusal relationship,Ghi cắn,Ghi tương quan khớp cắn,Bite (cắn) + registration (ghi),N/A,https://www.pinterest.com/search/pins/?q=Bite%20registration,Prosthodontics – Records,N/A,baɪt ˌrɛdʒɪˈstreɪʃən,Morphological,Term,Common
255,Centric relation record,Record of jaw relation independent of tooth contact,Ghi tương quan trung tâm,Ghi tương quan hai hàm không phụ thuộc tiếp xúc răng,Centric relation + record,N/A,https://www.pinterest.com/search/pins/?q=Centric%20relation%20record,Prosthodontics – Records,N/A,ˈsɛn.trɪk rɪˈleɪʃən ˈrɛkɔːrd,Material,Term,Common
256,Vertical dimension of occlusion,Distance between selected points when teeth in contact,Chiều cao cắn khít (VDO),Khoảng cách giữa các điểm chọn khi cắn khít,Vertical (dọc) + dimension (kích thước),N/A,https://www.pinterest.com/search/pins/?q=Vertical%20dimension%20of%20occlusion,Prosthodontics – Records,N/A,ˈvɜːrtɪkəl dɪˈmɛnʃən əv əˈkluːʒən,Morphological,Term,Common
257,Vertical dimension at rest,Distance between points when mandible is at rest,Chiều cao tư thế nghỉ (VDR),Khoảng cách giữa các điểm khi hàm ở tư thế nghỉ,Vertical dimension + rest,N/A,https://www.pinterest.com/search/pins/?q=Vertical%20dimension%20at%20rest,Prosthodontics – Records,N/A,ˈvɜːrtɪkəl dɪˈmɛnʃən æt rɛst,Material,Term,Common
258,Freeway space,Difference between VDR and VDO,Khoảng nghỉ,Hiệu số giữa VDR và VDO,Freeway (khoảng) + space,N/A,https://www.pinterest.com/search/pins/?q=Freeway%20space,Prosthodontics – Records,N/A,ˈfriːweɪ speɪs,Morphological,Term,Common
259,Occlusal splint,Removable appliance to stabilize occlusion and protect teeth,Máng nhai ổn định,Khí cụ tháo lắp ổn định khớp cắn và bảo vệ răng,Occlusal (khớp cắn) + splint (nẹp/máng),N/A,https://www.pinterest.com/search/pins/?q=Occlusal%20splint,Prosthodontics – Records,N/A,əˈkluːzəl splɪnt,Material,Term,Common
260,Anterior deprogrammer,Device to disengage posterior teeth and relax muscles,Khí cụ khử chương trước,"Khí cụ làm mất chạm răng sau, thư giãn cơ",Anterior (trước) + deprogram (khử chương) + -er,N/A,https://www.pinterest.com/search/pins/?q=Anterior%20deprogrammer,Prosthodontics – Records,N/A,ænˈtɪəriər diːˈprəʊɡræmə,Material,Term,Common
261,Removable partial denture (RPD),Prosthesis replacing some teeth; removable by patient,Hàm giả bán phần tháo lắp,"Phục hình thay thế một số răng, bệnh nhân tự tháo lắp",Removable (tháo lắp) + partial (bán phần) + denture,N/A,https://www.pinterest.com/search/pins/?q=Removable%20partial%20denture%20%28RPD%29,Prosthodontics – Removable,N/A,rɪˈmuːvəbl ˈpɑːrʃəl ˈdɛntʃər,Material,Term,Common
262,Complete denture,Prosthesis replacing all teeth of an arch,Hàm giả toàn hàm,Phục hình thay thế toàn bộ răng của một hàm,Complete (toàn) + denture,N/A,https://www.pinterest.com/search/pins/?q=Complete%20denture,Prosthodontics – Removable,N/A,kəmˈpliːt ˈdɛntʃər,Material,Term,Common
263,Immediate denture,Denture inserted at the same appointment as extractions,Hàm giả tức thì,Hàm đặt ngay sau khi nhổ răng,Immediate (tức thì) + denture,N/A,https://www.pinterest.com/search/pins/?q=Immediate%20denture,Prosthodontics – Removable,N/A,ɪˈmiːdiət ˈdɛntʃər,Material,Term,Common
264,Overdenture,Denture supported by retained roots or implants,Hàm phủ,Hàm tháo lắp tựa trên chân răng còn giữ hoặc implant,Over (phủ) + denture,N/A,https://www.pinterest.com/search/pins/?q=Overdenture,Prosthodontics – Removable,N/A,ˈoʊvərˌdɛntʃər,Material,Term,Common
265,Implant-supported overdenture,Overdenture supported/retained by implants,Hàm phủ nâng đỡ bởi implant,Hàm phủ được nâng đỡ/giữ bởi implant,Implant + supported + overdenture,N/A,https://www.pinterest.com/search/pins/?q=Implant-supported%20overdenture,Prosthodontics – Removable,N/A,ˈɪmplænt səˈpɔːrtɪd ˈoʊvərˌdɛntʃər,Material,Term,Common
266,Tissue conditioner,Viscoelastic material to treat abused tissues under dentures,Vật liệu điều kiện mô,Vật liệu đàn nhớ dùng cải thiện mô dưới hàm giả,Tissue (mô) + condition (điều kiện) + -er,N/A,https://www.pinterest.com/search/pins/?q=Tissue%20conditioner,Prosthodontics – Removable,N/A,ˈtɪʃuː kənˈdɪʃənər,Biological,Term,Common
267,Soft liner,Soft resilient liner on tissue surface of denture,Lót mềm,Lớp lót đàn hồi ở mặt niêm mạc của hàm,Soft (mềm) + liner (lót),N/A,https://www.pinterest.com/search/pins/?q=Soft%20liner,Prosthodontics – Removable,N/A,sɒft ˈlaɪnər,Morphological,Term,Common
268,Relining,Replacing the intaglio surface to improve fit,Lót lại (reline),Thay bề mặt trong để cải thiện độ khít,Re- (lại) + lining (lót),N/A,https://www.pinterest.com/search/pins/?q=Relining,Prosthodontics – Removable,N/A,ˌriːˈlaɪnɪŋ,Material,Term,Common
269,Rebasing,Replacing the entire denture base material,Thay nền (rebasing),Thay toàn bộ nền hàm giả,Re- (lại) + base (nền) + -ing,N/A,https://www.pinterest.com/search/pins/?q=Rebasing,Prosthodontics – Removable,N/A,ˌriːˈbeɪsɪŋ,Material,Term,Common
270,Border molding,Shaping impression borders to capture functional depth,Nắn bờ chức năng,Nắn tạo bờ lấy dấu theo chức năng,Border (bờ) + mold (nắn) + -ing,N/A,https://www.pinterest.com/search/pins/?q=Border%20molding,Prosthodontics – Removable,N/A,ˈbɔːrdər ˈmoʊldɪŋ,Material,Term,Common
271,Peripheral seal,Seal at border providing denture retention,Niêm kín ngoại vi,Vùng kín ở bờ giúp hàm giữ chắc,Peripheral (ngoại vi) + seal (niêm kín),N/A,https://www.pinterest.com/search/pins/?q=Peripheral%20seal,Prosthodontics – Removable,N/A,pəˈrɪfərəl siːl,Material,Term,Common
272,Posterior palatal seal (post dam),Seal at junction of hard and soft palate,Vùng chặn khẩu cái sau,Vùng niêm kín nối khẩu cái cứng và mềm,Posterior + palatal + seal,N/A,https://www.pinterest.com/search/pins/?q=Posterior%20palatal%20seal%20%28post%20dam%29,Prosthodontics – Removable,N/A,pɒˈstɪəriər pæˈlætəl siːl,Material,Term,Common
273,Major connector,Component uniting parts of an RPD on one arch,Thanh nối lớn,Bộ phận nối các phần của hàm khung trên cùng một hàm,Major (lớn) + connector (nối),N/A,https://www.pinterest.com/search/pins/?q=Major%20connector,Prosthodontics – Removable,N/A,ˈmeɪdʒər kəˈnɛktər,Material,Term,Common
274,Minor connector,Component connecting minor parts to major connector,Thanh nối nhỏ,Bộ phận nối các thành phần phụ với thanh nối lớn,Minor (nhỏ) + connector,N/A,https://www.pinterest.com/search/pins/?q=Minor%20connector,Prosthodontics – Removable,N/A,ˈmaɪnər kəˈnɛktər,Material,Term,Common
275,Occlusal rest,Rest providing vertical support on occlusal surface,Gờ tựa nhai,Gờ tựa tạo nâng đỡ theo chiều dọc trên mặt nhai,Occlusal (nhai) + rest (tựa),N/A,https://www.pinterest.com/search/pins/?q=Occlusal%20rest,Prosthodontics – Removable,N/A,əˈkluːzəl rɛst,Material,Term,Common
276,Rest seat,Prepared area to receive a rest,Hố tựa,Vùng được sửa soạn để đặt gờ tựa,Rest + seat (chỗ đặt),N/A,https://www.pinterest.com/search/pins/?q=Rest%20seat,Prosthodontics – Removable,N/A,rɛst siːt,Material,Term,Common
277,Guide plane,Parallel surface guiding path of insertion,Mặt hướng dẫn,Mặt song song dẫn hướng đường tháo lắp,Guide (hướng dẫn) + plane (mặt),N/A,https://www.pinterest.com/search/pins/?q=Guide%20plane,Prosthodontics – Removable,N/A,ɡaɪd pleɪn,Material,Term,Common
278,Direct retainer,Clasp assembly directly resisting dislodging forces,Bộ phận giữ trực tiếp,Cấu phần móc giữ chống lực bật hàm,Direct (trực tiếp) + retainer (giữ),N/A,https://www.pinterest.com/search/pins/?q=Direct%20retainer,Prosthodontics – Removable,N/A,dəˈrɛkt rɪˈteɪnər,Material,Term,Common
279,Indirect retainer,Component resisting rotation around fulcrum line,Bộ phận giữ gián tiếp,Bộ phận chống xoay quanh đường trục bản lề,Indirect (gián tiếp) + retainer,N/A,https://www.pinterest.com/search/pins/?q=Indirect%20retainer,Prosthodontics – Removable,N/A,ˌɪndɪˈrɛkt rɪˈteɪnər,Material,Term,Common
280,Circumferential clasp (Akers),Clasp encircling tooth from undercut to occlusal origin,Móc vòng (Akers),Móc bao quanh răng từ vùng undercut đến điểm xuất phát,Circum (quanh) + ferential (mang) + clasp,N/A,https://www.pinterest.com/search/pins/?q=Circumferential%20clasp%20%28Akers%29,Prosthodontics – Removable,N/A,ˌsɜːkəmfəˈrɛnʃəl klæsp,Material,Term,Common
281,I-bar clasp,Infrabulge clasp approaching undercut from gingival direction,Móc I-bar,Móc dưới phồng đi từ hướng nướu vào undercut,I-bar (hình chữ I) + clasp,N/A,https://www.pinterest.com/search/pins/?q=I-bar%20clasp,Prosthodontics – Removable,N/A,aɪ bɑːr klæsp,Material,Term,Common
282,RPI system,Rest–Proximal plate–I-bar clasp design for stress release,Hệ thống RPI,Thiết kế Gờ tựa–Bản gần–Móc I-bar giảm ứng suất,R (rest) + P (proximal plate) + I (I-bar),N/A,https://www.pinterest.com/search/pins/?q=RPI%20system,Prosthodontics – Removable,N/A,ɑːr piː aɪ ˈsɪstəm,Material,Term,Common
283,Reciprocation,Action opposing clasp force to stabilize tooth,Đối kháng lực móc,Tác động đối kháng lực của móc để ổn định răng,Reciprocate (đối ứng) + -ion,N/A,https://www.pinterest.com/search/pins/?q=Reciprocation,Prosthodontics – Removable,N/A,rɪˌsɪprəˈkeɪʃən,Material,Term,Common
284,Fulcrum line,Imaginary line about which denture tends to rotate,Đường trục bản lề,Đường tưởng tượng quanh đó hàm có xu hướng xoay,Fulcrum (điểm tựa) + line,N/A,https://www.pinterest.com/search/pins/?q=Fulcrum%20line,Prosthodontics – Removable,N/A,ˈfʊlkrəm laɪn,Morphological,Term,Common
